setsockopt: Protocol not available
349.685 183.021 166 2
295.644 389.209 82 2
348.695 183.16 172 1
295.679 390.209 88 1
347.696 183.195 178 1
295.609 391.206 94 1
346.706 183.334 172 2
295.54 392.204 94 0
345.706 183.369 178 1
295.574 393.203 88 2
344.709 183.3 184 1
295.714 394.193 82 2
343.711 183.23 184 0
295.748 395.193 88 1
342.712 183.265 178 2
295.783 396.192 88 0
341.721 183.404 172 2
295.818 397.191 88 0
340.722 183.439 178 1
295.853 398.191 88 0
339.732 183.578 172 2
295.888 399.19 88 0
338.761 183.82 166 2
295.923 400.19 88 0
337.791 184.062 166 0
295.853 401.187 94 1
336.851 184.404 160 2
295.68 402.172 100 1
335.953 184.842 154 2
295.404 403.133 106 1
335.054 185.281 154 0
295.128 404.095 106 0
334.114 185.623 160 1
294.754 405.022 112 1
333.144 185.864 166 1
294.284 405.905 118 1
332.174 186.106 166 0
293.725 406.734 124 1
331.203 186.348 166 0
293.166 407.563 124 0
330.233 186.59 166 0
292.607 408.392 124 0
329.263 186.832 166 0
291.964 409.158 130 1
328.272 186.971 172 1
291.321 409.924 130 0
327.273 187.006 178 1
290.678 410.69 130 0
326.283 187.145 172 2
290.035 411.456 130 0
325.312 187.387 166 2
289.316 412.151 136 1
324.373 187.729 160 2
288.528 412.766 142 1
323.474 188.168 154 2
287.809 413.461 136 2
322.626 188.698 148 2
287.166 414.227 130 2
321.838 189.313 142 2
286.607 415.056 124 2
321.119 190.008 136 2
286.137 415.939 118 2
320.331 190.624 142 1
285.668 416.822 118 0
319.483 191.154 148 1
285.198 417.705 118 0
318.634 191.683 148 0
284.729 418.588 118 0
317.846 192.299 142 2
284.259 419.471 118 0
317.127 192.994 136 2
283.79 420.354 118 0
316.408 193.688 136 0
283.231 421.183 124 1
315.688 194.383 136 0
282.672 422.012 124 0
314.969 195.078 136 0
282.112 422.841 124 0
314.326 195.844 130 2
281.553 423.67 124 0
313.607 196.538 136 1
280.91 424.436 130 1
312.819 197.154 142 1
280.191 425.131 136 1
312.1 197.849 136 2
279.548 425.897 130 2
311.312 198.464 142 1
278.829 426.591 136 1
310.464 198.994 148 1
278.041 427.207 142 1
309.565 199.433 154 1
277.253 427.823 142 0
308.666 199.871 154 0
276.465 428.438 142 0
307.767 200.309 154 0
275.677 429.054 142 0
306.827 200.651 160 1
274.829 429.584 148 1
305.929 201.09 154 2
273.981 430.114 148 0
305.081 201.62 148 2
273.133 430.644 148 0
304.293 202.235 142 2
272.285 431.174 148 0
303.505 202.851 142 0
271.497 431.789 142 2
302.717 203.467 142 0
270.777 432.484 136 2
301.997 204.161 136 2
270.135 433.25 130 2
301.278 204.856 136 0
269.415 433.945 136 1
300.559 205.551 136 0
268.627 434.56 142 1
299.771 206.166 142 1
267.908 435.255 136 2
298.983 206.782 142 0
267.189 435.95 136 0
298.195 207.398 142 0
266.469 436.644 136 0
297.407 208.013 142 0
265.826 437.41 130 2
296.559 208.543 148 1
265.184 438.176 130 0
295.66 208.982 154 1
264.541 438.942 130 0
294.761 209.42 154 0
263.822 439.637 136 1
293.913 209.95 148 2
263.102 440.332 136 0
293.125 210.566 142 2
262.383 441.026 136 0
292.277 211.096 148 1
261.74 441.792 130 2
291.429 211.625 148 0
261.021 442.487 136 1
290.581 212.155 148 0
260.233 443.103 142 1
289.793 212.771 142 2
259.445 443.718 142 0
288.945 213.301 148 1
258.657 444.334 142 0
288.046 213.739 154 1
257.869 444.95 142 0
287.147 214.178 154 0
257.021 445.48 148 1
286.299 214.708 148 2
256.122 445.918 154 1
285.511 215.323 142 2
255.182 446.26 160 1
284.663 215.853 148 1
254.242 446.602 160 0
283.815 216.383 148 0
253.272 446.844 166 1
282.967 216.913 148 0
252.282 446.983 172 1
282.119 217.443 148 0
251.292 447.122 172 0
281.271 217.973 148 0
250.292 447.157 178 1
280.423 218.503 148 0
249.295 447.087 184 1
279.635 219.118 142 2
248.31 446.914 190 1
278.915 219.813 136 2
247.349 446.638 196 1
278.273 220.579 130 2
246.421 446.264 202 1
277.713 221.408 124 2
245.46 445.988 196 2
277.244 222.291 118 2
244.499 445.712 196 0
276.869 223.218 112 2
243.538 445.437 196 0
276.4 224.101 118 1
242.576 445.161 196 0
275.841 224.93 124 1
241.615 444.885 196 0
275.198 225.696 130 1
240.654 444.61 196 0
274.555 226.462 130 0
239.669 444.436 190 2
273.836 227.157 136 1
238.684 444.262 190 0
273.048 227.773 142 1
237.699 444.089 190 0
272.328 228.467 136 2
236.702 444.019 184 2
271.686 229.233 130 2
235.702 444.054 178 2
271.126 230.062 124 2
234.712 444.193 172 2
270.484 230.829 130 1
233.742 444.435 166 2
269.841 231.595 130 0
232.772 444.677 166 0
269.198 232.361 130 0
231.801 444.919 166 0
268.555 233.127 130 0
230.831 445.161 166 0
267.836 233.821 136 1
229.841 445.3 172 1
267.048 234.437 142 1
228.841 445.335 178 1
266.329 235.132 136 2
227.842 445.37 178 0
265.609 235.826 136 0
226.843 445.405 178 0
264.89 236.521 136 0
225.843 445.44 178 0
264.102 237.137 142 1
224.853 445.579 172 2
263.314 237.752 142 0
223.863 445.718 172 0
262.526 238.368 142 0
222.872 445.857 172 0
261.807 239.063 136 2
221.902 446.099 166 2
261.164 239.829 130 2
220.912 446.238 172 1
260.605 240.658 124 2
219.912 446.273 178 1
259.962 241.424 130 1
